Task: Inpaint;
dataset: Celeba.

Pth will be saved to: ../../Pths/Inpaint/prefix/pretrain/64_128_6_2.pth


Image will be saved to: ../../Images/Inpaint/prefix/pretrain/64_128_6_2.eps

Generating Net...
Before PSNR: 14.849733929576685, 	 After PSNR: 8.088624981537288
Before PSNR: 14.82721145106421, 	 After PSNR: 8.239817553762686
Before PSNR: 14.759963649498495, 	 After PSNR: 8.404116356546275
Before PSNR: 14.64861073540352, 	 After PSNR: 8.29331838355117
Done.
Training Begins.
Now at epoch [1/48].
Paras have been created. Loaded.
The number of paras in the network is 11907712.
Test before training...
Inpaint local size 64, image size 128. Process: [1488/30000 (1.24%)]	Loss: 0.209647
Inpaint local size 64, image size 64. Process: [1584/30000 (5.28%)]	Loss: 0.179621
Inpaint local size 64, image size 128. Process: [1536/30000 (1.28%)]	Loss: 0.191038
Inpaint local size 64, image size 64. Process: [1632/30000 (5.44%)]	Loss: 0.170162
Inpaint local size 64, image size 128. Process: [1584/30000 (1.32%)]	Loss: 0.194962
Inpaint local size 64, image size 64. Process: [1680/30000 (5.60%)]	Loss: 0.175347
Inpaint local size 64, image size 128. Process: [1632/30000 (1.36%)]	Loss: 0.199576
Inpaint local size 64, image size 64. Process: [1728/30000 (5.76%)]	Loss: 0.161416
Inpaint local size 64, image size 128. Process: [1680/30000 (1.40%)]	Loss: 0.196223
Inpaint local size 64, image size 64. Process: [1776/30000 (5.92%)]	Loss: 0.177632
Inpaint local size 64, image size 128. Process: [1728/30000 (1.44%)]	Loss: 0.197392
Inpaint local size 64, image size 64. Process: [1824/30000 (6.08%)]	Loss: 0.178485
Inpaint local size 64, image size 128. Process: [1776/30000 (1.48%)]	Loss: 0.178954
Inpaint local size 64, image size 64. Process: [1872/30000 (6.24%)]	Loss: 0.175544
Inpaint local size 64, image size 128. Process: [1824/30000 (1.52%)]	Loss: 0.219120
Inpaint local size 64, image size 64. Process: [1920/30000 (6.40%)]	Loss: 0.171537
Inpaint local size 64, image size 128. Process: [1872/30000 (1.56%)]	Loss: 0.188027
Inpaint local size 64, image size 128. Process: [1920/30000 (1.60%)]	Loss: 0.174591
Inpaint local size 64, image size 64. Process: [1968/30000 (6.56%)]	Loss: 0.164236
Inpaint local size 64, image size 128. Process: [1968/30000 (1.64%)]	Loss: 0.179703
Inpaint local size 64, image size 64. Process: [2016/30000 (6.72%)]	Loss: 0.164636
Inpaint local size 64, image size 128. Process: [2016/30000 (1.68%)]	Loss: 0.181456
Inpaint local size 64, image size 64. Process: [2064/30000 (6.88%)]	Loss: 0.158606
Inpaint local size 64, image size 128. Process: [2064/30000 (1.72%)]	Loss: 0.154862
Inpaint local size 64, image size 64. Process: [2112/30000 (7.04%)]	Loss: 0.164234
Inpaint local size 64, image size 128. Process: [2112/30000 (1.76%)]	Loss: 0.195661
